Region,Year,Wine,Beer,Vodka,Sparkling wine,Brandy,Сider,Liqueurs,Total alcohol consumption (in liters of pure alcohol per capita)
Khanty–Mansi Autonomous Okrug – Yugra,2017,3.22,58.31,6.02,1.54,1.07,0.77,0.45,7.2
Yamalo-Nenets Autonomous Okrug,2017,3.51,55.97,7.70,1.80,1.39,0.63,0.53,8.0
Chelyabinsk Oblast,2017,3.26,41.95,3.89,1.04,0.55,0.66,0.37,5.1
Tyumen Oblast,2017,3.16,44.95,4.68,1.08,0.57,0.65,0.29,5.5
Altai Republic,2017,2.28,41.20,4.56,0.34,0.25,0.58,0.13,4.8
Tuva Republic,2017,0.78,12.50,1.81,0.34,0.17,0.01,0.02,1.7
Republic of Khakassia,2017,2.04,57.80,2.52,0.75,0.32,0.24,0.15,5.1
Altai Krai,2017,2.27,47.06,3.83,0.55,0.28,0.53,0.20,5.0
Krasnoyarsk Krai,2017,3.15,37.81,4.57,1.25,0.62,0.24,0.27,5.1
Irkutsk Oblast,2017,3.14,50.43,5.39,0.97,0.43,0.35,0.47,6.1
Kemerovo Oblast,2017,2.58,46.59,5.16,0.79,0.50,0.40,0.31,5.7
Novosibirsk Oblast,2017,3.35,45.44,3.74,0.96,0.53,0.55,0.25,5.2
Omsk Oblast,2017,2.64,30.58,2.50,0.92,0.40,0.41,0.22,3.6
Tomsk Oblast,2017,3.12,53.86,4.35,1.09,0.64,0.35,0.32,6.0
Republic of Buryatia,2017,1.90,38.32,6.84,0.44,0.24,0.19,0.19,5.5
Sakha (Yakutia) Republic,2017,2.16,29.60,7.06,1.29,0.53,0.48,0.16,5.4
Zabaykalsky Krai,2017,2.59,37.43,5.17,0.49,0.23,0.30,0.23,4.9
Kamchatka Krai,2017,4.49,81.19,9.73,3.11,1.46,0.97,0.50,10.7
Primorsky Krai,2017,4.02,44.22,6.59,1.61,0.88,0.27,0.65,6.7
Khabarovsk Krai,2017,3.52,51.48,9.27,2.31,0.93,0.69,0.66,8.3
Amur Oblast,2017,3.45,58.79,6.22,1.06,0.50,0.67,0.32,7.0
Magadan Oblast,2017,4.10,55.92,12.14,3.08,1.60,0.80,0.43,10.1
Sakhalin Oblast,2017,5.11,62.21,12.67,3.36,1.30,0.51,0.55,10.8
Jewish Autonomous Oblast,2017,2.44,65.75,7.75,1.10,0.46,0.56,0.43,7.9
Chukotka Autonomous Okrug,2017,2.99,47.39,11.05,2.02,1.37,0.15,0.29,8.6
Belgorod Oblast,2018,1.87,48.91,3.80,0.76,0.33,0.66,0.18,5.1
Bryansk Oblast,2018,2.99,38.59,4.32,0.82,0.52,0.45,0.74,5.4
Vladimir Oblast,2018,3.74,49.64,6.74,0.94,0.86,0.72,0.63,7.4
Voronezh Oblast,2018,2.75,39.58,3.85,1.03,0.67,0.42,0.37,5.1
Ivanovo Oblast,2018,3.60,52.88,5.86,0.87,0.68,0.49,0.68,7.2
Kaluga Oblast,2018,4.05,46.51,6.21,1.24,0.93,0.52,0.66,6.9
Kostroma Oblast,2018,3.67,53.53,7.87,0.85,0.72,0.43,0.59,7.9
Kursk Oblast,2018,2.36,53.64,3.67,0.96,0.57,0.36,0.28,5.6
Lipetsk Oblast,2018,2.67,43.29,4.15,0.89,0.55,0.34,0.38,5.3
Moscow Oblast,2018,6.03,53.98,7.80,2.05,1.51,0.68,0.67,8.8
Oryol Oblast,2018,2.69,40.55,3.96,1.09,0.65,0.40,0.34,5.3
Ryazan Oblast,2018,3.20,47.99,4.53,1.05,0.66,0.58,0.44,6.
Smolensk Oblast,2018,3.81,49.44,6.41,1.29,0.97,0.57,0.50,7.3
Tambov Oblast,2018,1.99,36.13,3.27,0.66,0.44,0.28,0.30,4.3
Tver Oblast,2018,4.32,46.54,7.05,1.23,0.91,0.66,0.74,7.4
Tula Oblast,2018,3.34,39.83,4.30,0.87,0.70,0.46,0.50,5.4
Yaroslavl Oblast,2018,5.04,47.51,7.62,1.26,1.12,0.50,0.57,7.9
Moscow,2018,5.40,35.73,4.66,1.91,1.09,0.76,0.43,5.9
Republic of Karelia,2018,6.90,56.28,11.11,1.37,1.44,0.83,0.97,10.5
Komi Republic,2018,4.86,60.18,11.62,1.44,1.16,0.45,0.82,10.3
Nenets Autonomous Okrug,2018,8.44,47.16,9.64,2.18,1.07,0.25,0.34,9.2
Vologda Oblast,2018,4.59,49.47,8.88,0.92,0.83,0.53,0.77,8.5
Kaliningrad Oblast,2018,5.22,36.82,4.19,1.07,0.87,1.36,0.43,5.7
Leningrad Oblast,2018,6.04,51.54,7.99,1.59,1.55,0.80,0.72,8.7
Murmansk Oblast,2018,5.49,68.69,8.68,2.07,1.94,0.70,0.77,10.1
Novgorod Oblast,2018,4.51,51.57,6.77,1.09,1.08,0.82,0.69,7.8
Pskov Oblast,2018,4.48,49.93,5.66,1.30,0.88,1.23,0.64,7.4
Saint Petersburg,2018,6.84,35.24,4.95,2.02,1.42,0.96,0.54,6.7
Arkhangelsk Oblast,2018,5.30,47.90,9.42,1.57,1.07,0.40,0.68,9.
Republic of Adygea,2018,2.31,81.85,3.13,0.86,0.55,0.45,0.17,6.6
Republic of Kalmykia,2018,1.04,20.69,3.36,0.22,0.40,0.05,0.11,3.1
Republic of Crimea,2018,4.16,58.98,4.07,1.60,0.98,0.62,0.22,6.4
Krasnodar Krai,2018,3.92,48.30,3.30,1.47,0.79,0.29,0.22,5.4
Astrakhan Oblast,2018,2.05,30.09,3.90,0.56,0.59,0.22,0.21,4.3
Volgograd Oblast,2018,2.21,33.67,3.04,0.94,0.56,0.24,0.26,4.2
Rostov Oblast,2018,2.00,30.11,2.54,0.96,0.58,0.28,0.20,3.8
Sevastopol,2018,5.40,39.56,5.87,2.94,1.23,0.94,0.34,6.7
Republic of Dagestan,2018,0.23,3.75,0.83,0.09,0.20,0.00,0.01,0.7
Republic of Ingushetia,2018,0.03,0.38,0.30,0.00,0.02,0.00,0.00,0.2
Kabardino-Balkar Republic,2018,0.35,7.44,0.48,0.18,0.15,0.02,0.02,0.7
Karachay-Cherkess Republic,2018,0.60,22.95,0.86,0.21,0.18,0.02,0.07,1.8
Republic of North Ossetia-Alania,2018,0.32,3.33,0.31,0.33,0.11,0.01,0.02,0.5
Chechen Republic,2018,0.01,0.34,0.05,0.00,0.01,0.00,0.00,0.
Stavropol Krai,2018,1.72,20.19,1.96,0.76,0.45,0.13,0.18,2.7
Republic of Bashkortostan,2018,2.22,36.69,5.64,0.68,0.50,0.23,0.63,5.4
Mari El Republic,2018,2.52,41.06,6.61,0.53,0.64,0.25,0.66,6.6
Republic of Mordovia,2018,1.85,38.63,5.55,0.57,0.39,0.23,0.31,5.4
Republic of Tatarstan,2018,2.33,42.07,7.01,0.57,0.72,0.25,0.53,6.4
Udmurt Republic,2018,3.01,89.62,8.60,0.73,0.66,0.48,0.50,9.6
Chuvash Republic,2018,2.15,39.94,6.81,0.48,0.49,0.19,0.91,6.2
Perm Krai,2018,3.46,49.10,5.84,0.77,0.79,0.37,0.45,6.6
Kirov Oblast,2018,3.64,58.55,8.46,0.96,0.68,0.40,0.50,8.4
Nizhny Novgorod Oblast,2018,3.63,43.21,6.62,1.10,0.79,0.55,1.49,7.5
Orenburg Oblast,2018,2.47,35.63,3.72,0.74,0.40,0.23,0.28,4.6
Penza Oblast,2018,2.10,45.51,4.16,0.60,0.42,0.49,0.67,5.6
Samara Oblast,2018,3.31,61.10,3.92,0.95,0.69,0.41,0.35,6.2
Saratov Oblast,2018,2.15,43.89,2.47,0.67,0.47,0.28,0.25,4.5
Ulyanovsk Oblast,2018,2.80,40.82,3.57,0.79,0.51,0.34,0.28,5.
Kurgan Oblast,2018,2.46,51.93,3.21,0.80,0.44,0.43,0.29,5.4
Sverdlovsk Oblast,2018,4.49,59.37,5.44,1.19,0.86,0.41,0.48,7.3
Khanty–Mansi Autonomous Okrug – Yugra,2018,3.30,52.77,6.11,1.46,1.16,0.36,0.51,7.
Yamalo-Nenets Autonomous Okrug,2018,3.61,60.76,7.71,1.70,1.50,0.36,0.63,8.4
Chelyabinsk Oblast,2018,3.42,39.72,4.19,1.04,0.62,0.35,0.43,5.2
Tyumen Oblast,2018,3.29,44.71,4.74,1.07,0.64,0.46,0.33,5.7
Altai Republic,2018,2.38,41.47,4.49,0.32,0.28,0.11,0.16,4.9
Tuva Republic,2018,0.67,13.49,1.74,0.35,0.17,0.02,0.02,1.6
Republic of Khakassia,2018,2.44,62.49,2.86,0.81,0.39,0.14,0.22,5.2
Altai Krai,2018,2.36,48.55,3.97,0.53,0.35,0.14,0.24,5.
Krasnoyarsk Krai,2018,3.12,37.69,4.33,1.19,0.67,0.20,0.33,5.
Irkutsk Oblast,2018,3.29,54.55,5.56,0.97,0.49,0.32,0.50,6.6
Kemerovo Oblast,2018,2.51,55.89,5.20,0.76,0.58,0.21,0.35,6.2
Novosibirsk Oblast,2018,3.49,52.01,3.78,0.91,0.59,0.46,0.28,5.6
Omsk Oblast,2018,2.71,31.31,2.84,0.91,0.47,0.25,0.25,4.
Tomsk Oblast,2018,3.22,52.90,4.30,0.98,0.70,0.24,0.35,6.1
Republic of Buryatia,2018,1.84,35.70,6.37,0.43,0.28,0.23,0.21,5.6
Sakha (Yakutia) Republic,2018,2.30,33.46,6.99,1.23,0.59,0.22,0.18,5.7
Zabaykalsky Krai,2018,2.26,35.25,4.86,0.42,0.25,0.24,0.25,5.1
Kamchatka Krai,2018,4.47,76.51,9.56,2.78,1.55,0.45,0.57,10.3
Primorsky Krai,2018,4.05,116.63,6.75,1.56,0.95,2.07,0.63,10.8
